"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"8jm_9vT-tGT-rFe-XckCqA","1iS-pzwKiNF21UWHl9Rl5g","u632XAPn08Rot9Ru9BoFNA","vrdrPE_IczDTL5aM5f-Tqg","RZws0oOOi9SRuks4tyB6QA","_0d-uqjdfeL23s2xgje4Pw","_glMJT-AR1vNt-eatEdyeA","AhYG10mP_LOHePr_SC4Peg","YIpwSFLkb1geFIXyqh62rQ","je5h9jV38Wpist76omY_Pw","NCc227GObIORVxUXs-KWvw","yCK1Ok69D7TSWJESZQZHiQ","IOQ7hWDbdzZgOSr2sDELoQ","bNdLi3Vs1HNn04CaO8qBgw","u-IVGF-wGwvxuj3uKQW8qw","8jm_9vT-tGT-rFe-XckCqA","4VIAadQ0yZGss1vNHWUk9g","iUHz8jIWjkbx6pXsTUNIaw","pH9HF3GfJKJAdKDHcoUI4w","UDiMCb4LKowlozI5mhtO_A","JKDuPY9hPajOVQZpKPCzpA","JzB7NITHQ7gVHGVZ1ntgIQ","I1qRb4qqQRly7NhIOCkk_Q","WexIGFr-I6eH4loUY6DILw","GETVAz5SCk8rFziexV54Aw","DYuOxkW4DtlJsTHdxdXSlg","Dv0OHpQSL4hOGl2KAEVvlA","VZQPYoK6l_vo5jwYgabJdQ","k9rR23TeanYDFEdqUK9Hjw","cd5Utm93d5Ta_F4e8A3pCA","Q0y1SHlhG4mzUWWDIW7NFg","9Rs7n2LbINBN8kLbScjhmA","mlCDsdVFuZvRGrJTfQ6amw","NwWYSYGHFyHQMmsXu0SiYA","Do72DKBclgkSPt6jZ9-c4Q","sMzNLdhJZGzYirIWt-fMAg","RtnTbhWYw4QjKhoTBV37OA","JRo3APL5f4-TEkuI-SoDcA","PQicuLOZ3uNJKn4PtayjlQ","Bx7SDDMr5Y278PFIy0nsmQ","HCCg-rVnHQ2FI6lHs_LvUQ","w_UCGMgok7N9p0XdYBx1VQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"mDR12Hafvr84ctpsV6YLag","JYVCQhZU4g-vXrISzUJFUA","l3SBg8iCNN_4-dnV0Wk4fg","6CBae7NZYyT654RCMUDOjw","B0YUHoSSVpq4a8Uh2gG3ow","RHwpx_SBW4h05LQsIxF-mQ","JAEGnGjqphWGoyuCN-hNQQ","gc5bZeAOoSvlK-gcJJHahA","w_A1qFeQ3vOl7o4kdBxPXA","Rx85NUdD6MhrgKxHr05NlQ","QqpzPFFHeHqyWSPZI-DkvQ","UJ3mHW1l6oLV-Ic2I7Vjrw","_0d-uqjdfeL23s2xgje4Pw","eYE7zd30ltLAS1V3ssdtrQ","8EWTMelykqAK81NlZUFsqw","FN-5HISn0yi5GTM83Uy59g","SqL19z7A7LB91RkWWwWvnQ","3akSOcI-uzHOwGQeZD3NHg","8jm_9vT-tGT-rFe-XckCqA","sOPBbhDCi7bJlW7dNBuITg","gU8H-yYJEByT7b8ZvHs16g","geytMDcETB3AwhATBbq6gQ","0ZZIqTdEb7yUa13QZLKuGQ","mNsjRWm99TFmssgKJX_kyg","b_XIKJ2nNzksuWhfMTEehQ","UsJYr7l0fOaQZG223BbpeA","IFg1pCoF9m90ivwvE3SUcQ","O3zVw-VAcJi8ta4B6v5iAA","avKtXuzalCP_cVfrk-fLeQ","LkfdCPTWU4BNWWpou60Lww","9Fm-OVlt1fXIHcp5QJisuQ","jF3sWSqa-6TyROZgSUGrIw","p8qk36_xEXhICe91tfUpPA","WWdPXSNLduMNK-ybk9HcuA","PbTh7aX0_yyaXFOXAlhI4A","m8Cbph-0tlMaYyXDwvKc3A","s1FNMwBVBmC7mLfYy77e8g","nkDSE-yhvLX4ij5fSzvb5Q","zU63bs3Ofe8y1peOgOFJaA","mJ_ucQ2_3hfTsmCcKb-hgw","VBoyqq5lO_H-EJO6MTwIPA","kY2Uh2-CHgLff9rZZWuGDA","WPUf-Eo6PHxDNqPygahiUA","_9Oh4NYx5Yjd4tG2_HWQww","5nWfU-qheLL-JzwYgHe_cQ","X5oaz9_MVz-1ng83HuI4ZQ","eRoOfy-lQso6N3GiUY_c3w","NwVj3tbEcR2F8fbrcOEV0Q","DjvpsmdtEvnyMk2vXxpc-w","CKoDbOpF_CSyy6_lttqjKg","TrOgTZ0DfmQxvpTehiNibQ"
"mDR12Hafvr84ctpsV6YLag","JYVCQhZU4g-vXrISzUJFUA","l3SBg8iCNN_4-dnV0Wk4fg","6CBae7NZYyT654RCMUDOjw","B0YUHoSSVpq4a8Uh2gG3ow","RHwpx_SBW4h05LQsIxF-mQ","JAEGnGjqphWGoyuCN-hNQQ","gc5bZeAOoSvlK-gcJJHahA","w_A1qFeQ3vOl7o4kdBxPXA","Rx85NUdD6MhrgKxHr05NlQ","QqpzPFFHeHqyWSPZI-DkvQ","UJ3mHW1l6oLV-Ic2I7Vjrw","_0d-uqjdfeL23s2xgje4Pw","eYE7zd30ltLAS1V3ssdtrQ","8EWTMelykqAK81NlZUFsqw","FN-5HISn0yi5GTM83Uy59g","SqL19z7A7LB91RkWWwWvnQ","3akSOcI-uzHOwGQeZD3NHg","8jm_9vT-tGT-rFe-XckCqA","sOPBbhDCi7bJlW7dNBuITg","gU8H-yYJEByT7b8ZvHs16g","geytMDcETB3AwhATBbq6gQ","0ZZIqTdEb7yUa13QZLKuGQ","mNsjRWm99TFmssgKJX_kyg","b_XIKJ2nNzksuWhfMTEehQ","UsJYr7l0fOaQZG223BbpeA","IFg1pCoF9m90ivwvE3SUcQ","O3zVw-VAcJi8ta4B6v5iAA","avKtXuzalCP_cVfrk-fLeQ","LkfdCPTWU4BNWWpou60Lww","9Fm-OVlt1fXIHcp5QJisuQ","jF3sWSqa-6TyROZgSUGrIw","p8qk36_xEXhICe91tfUpPA","WWdPXSNLduMNK-ybk9HcuA","PbTh7aX0_yyaXFOXAlhI4A","m8Cbph-0tlMaYyXDwvKc3A","s1FNMwBVBmC7mLfYy77e8g","nkDSE-yhvLX4ij5fSzvb5Q","zU63bs3Ofe8y1peOgOFJaA","mJ_ucQ2_3hfTsmCcKb-hgw","VBoyqq5lO_H-EJO6MTwIPA","kY2Uh2-CHgLff9rZZWuGDA","WPUf-Eo6PHxDNqPygahiUA","_9Oh4NYx5Yjd4tG2_HWQww","5nWfU-qheLL-JzwYgHe_cQ","X5oaz9_MVz-1ng83HuI4ZQ","eRoOfy-lQso6N3GiUY_c3w","NwVj3tbEcR2F8fbrcOEV0Q","DjvpsmdtEvnyMk2vXxpc-w","CKoDbOpF_CSyy6_lttqjKg","TrOgTZ0DfmQxvpTehiNibQ"
"mDR12Hafvr84ctpsV6YLag","JzB7NITHQ7gVHGVZ1ntgIQ","1iS-pzwKiNF21UWHl9Rl5g","u632XAPn08Rot9Ru9BoFNA","vrdrPE_IczDTL5aM5f-Tqg","RZws0oOOi9SRuks4tyB6QA","_0d-uqjdfeL23s2xgje4Pw","_glMJT-AR1vNt-eatEdyeA","AhYG10mP_LOHePr_SC4Peg","YIpwSFLkb1geFIXyqh62rQ","je5h9jV38Wpist76omY_Pw","NCc227GObIORVxUXs-KWvw","yCK1Ok69D7TSWJESZQZHiQ","IOQ7hWDbdzZgOSr2sDELoQ","bNdLi3Vs1HNn04CaO8qBgw","u-IVGF-wGwvxuj3uKQW8qw","8jm_9vT-tGT-rFe-XckCqA","4VIAadQ0yZGss1vNHWUk9g","iUHz8jIWjkbx6pXsTUNIaw","UDiMCb4LKowlozI5mhtO_A","pH9HF3GfJKJAdKDHcoUI4w","JKDuPY9hPajOVQZpKPCzpA","I1qRb4qqQRly7NhIOCkk_Q","WexIGFr-I6eH4loUY6DILw","GETVAz5SCk8rFziexV54Aw","DYuOxkW4DtlJsTHdxdXSlg","Dv0OHpQSL4hOGl2KAEVvlA","VZQPYoK6l_vo5jwYgabJdQ","k9rR23TeanYDFEdqUK9Hjw","cd5Utm93d5Ta_F4e8A3pCA","Q0y1SHlhG4mzUWWDIW7NFg","9Rs7n2LbINBN8kLbScjhmA","mlCDsdVFuZvRGrJTfQ6amw","NwWYSYGHFyHQMmsXu0SiYA","Do72DKBclgkSPt6jZ9-c4Q","sMzNLdhJZGzYirIWt-fMAg","RtnTbhWYw4QjKhoTBV37OA","JRo3APL5f4-TEkuI-SoDcA","PQicuLOZ3uNJKn4PtayjlQ","Bx7SDDMr5Y278PFIy0nsmQ","HCCg-rVnHQ2FI6lHs_LvUQ","w_UCGMgok7N9p0XdYBx1VQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"FogTa-wmjhVnJCoTiaxvZA","WPUf-Eo6PHxDNqPygahiUA","JYVCQhZU4g-vXrISzUJFUA","l3SBg8iCNN_4-dnV0Wk4fg","6CBae7NZYyT654RCMUDOjw","B0YUHoSSVpq4a8Uh2gG3ow","RHwpx_SBW4h05LQsIxF-mQ","JAEGnGjqphWGoyuCN-hNQQ","gc5bZeAOoSvlK-gcJJHahA","w_A1qFeQ3vOl7o4kdBxPXA","Rx85NUdD6MhrgKxHr05NlQ","QqpzPFFHeHqyWSPZI-DkvQ","UJ3mHW1l6oLV-Ic2I7Vjrw","_0d-uqjdfeL23s2xgje4Pw","eYE7zd30ltLAS1V3ssdtrQ","8EWTMelykqAK81NlZUFsqw","FN-5HISn0yi5GTM83Uy59g","SqL19z7A7LB91RkWWwWvnQ","3akSOcI-uzHOwGQeZD3NHg","8jm_9vT-tGT-rFe-XckCqA","sOPBbhDCi7bJlW7dNBuITg","gU8H-yYJEByT7b8ZvHs16g","geytMDcETB3AwhATBbq6gQ","0ZZIqTdEb7yUa13QZLKuGQ","mNsjRWm99TFmssgKJX_kyg","b_XIKJ2nNzksuWhfMTEehQ","UsJYr7l0fOaQZG223BbpeA","IFg1pCoF9m90ivwvE3SUcQ","O3zVw-VAcJi8ta4B6v5iAA","avKtXuzalCP_cVfrk-fLeQ","LkfdCPTWU4BNWWpou60Lww","9Fm-OVlt1fXIHcp5QJisuQ","jF3sWSqa-6TyROZgSUGrIw","p8qk36_xEXhICe91tfUpPA","WWdPXSNLduMNK-ybk9HcuA","PbTh7aX0_yyaXFOXAlhI4A","m8Cbph-0tlMaYyXDwvKc3A","s1FNMwBVBmC7mLfYy77e8g","nkDSE-yhvLX4ij5fSzvb5Q","zU63bs3Ofe8y1peOgOFJaA","mJ_ucQ2_3hfTsmCcKb-hgw","VBoyqq5lO_H-EJO6MTwIPA","kY2Uh2-CHgLff9rZZWuGDA","_9Oh4NYx5Yjd4tG2_HWQww","5nWfU-qheLL-JzwYgHe_cQ","X5oaz9_MVz-1ng83HuI4ZQ","eRoOfy-lQso6N3GiUY_c3w","NwVj3tbEcR2F8fbrcOEV0Q","DjvpsmdtEvnyMk2vXxpc-w","CKoDbOpF_CSyy6_lttqjKg","TrOgTZ0DfmQxvpTehiNibQ"
"zw9_mqWBn1QCfZg88w0Exg","P7pxQFqr7yBKMMI2J51udw","_qA2HPqgLiBc-M4wRyml0g","2Wl4o7l54I-EtxtaDpOTzA","ZBq7AD95c2kPei76KVewQQ","0v984vlPQfb4VZWvBJSsfg","bWucOPNoIjd8ECdiDyVq9Q","dQrDogW_V4fB83vTTAP5eA","L3ysePkSGjp11VIcmA3A-Q","9Rs7n2LbINBN8kLbScjhmA","zYb4kj2R54R2YPeNm829BA","d482l58ho0_IMdFkXX1F5Q","6TvB1PZCY1Ap2S-yNJPs4w","Trbt0Ex85yvwT8DHoEFCvg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"y1esDY2vFyaTMf1YlRT7ZA","1iS-pzwKiNF21UWHl9Rl5g","u632XAPn08Rot9Ru9BoFNA","vrdrPE_IczDTL5aM5f-Tqg","RZws0oOOi9SRuks4tyB6QA","_0d-uqjdfeL23s2xgje4Pw","_glMJT-AR1vNt-eatEdyeA","AhYG10mP_LOHePr_SC4Peg","YIpwSFLkb1geFIXyqh62rQ","je5h9jV38Wpist76omY_Pw","NCc227GObIORVxUXs-KWvw","yCK1Ok69D7TSWJESZQZHiQ","IOQ7hWDbdzZgOSr2sDELoQ","bNdLi3Vs1HNn04CaO8qBgw","u-IVGF-wGwvxuj3uKQW8qw","8jm_9vT-tGT-rFe-XckCqA","4VIAadQ0yZGss1vNHWUk9g","iUHz8jIWjkbx6pXsTUNIaw","UDiMCb4LKowlozI5mhtO_A","pH9HF3GfJKJAdKDHcoUI4w","JKDuPY9hPajOVQZpKPCzpA","JzB7NITHQ7gVHGVZ1ntgIQ","I1qRb4qqQRly7NhIOCkk_Q","WexIGFr-I6eH4loUY6DILw","GETVAz5SCk8rFziexV54Aw","DYuOxkW4DtlJsTHdxdXSlg","Dv0OHpQSL4hOGl2KAEVvlA","VZQPYoK6l_vo5jwYgabJdQ","k9rR23TeanYDFEdqUK9Hjw","cd5Utm93d5Ta_F4e8A3pCA","Q0y1SHlhG4mzUWWDIW7NFg","9Rs7n2LbINBN8kLbScjhmA","mlCDsdVFuZvRGrJTfQ6amw","NwWYSYGHFyHQMmsXu0SiYA","Do72DKBclgkSPt6jZ9-c4Q","sMzNLdhJZGzYirIWt-fMAg","RtnTbhWYw4QjKhoTBV37OA","JRo3APL5f4-TEkuI-SoDcA","PQicuLOZ3uNJKn4PtayjlQ","Bx7SDDMr5Y278PFIy0nsmQ","HCCg-rVnHQ2FI6lHs_LvUQ","w_UCGMgok7N9p0XdYBx1VQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"y4ETe3DkcIjjr_eyeg5U5g","JYVCQhZU4g-vXrISzUJFUA","l3SBg8iCNN_4-dnV0Wk4fg","6CBae7NZYyT654RCMUDOjw","B0YUHoSSVpq4a8Uh2gG3ow","RHwpx_SBW4h05LQsIxF-mQ","JAEGnGjqphWGoyuCN-hNQQ","gc5bZeAOoSvlK-gcJJHahA","w_A1qFeQ3vOl7o4kdBxPXA","QqpzPFFHeHqyWSPZI-DkvQ","Rx85NUdD6MhrgKxHr05NlQ","UJ3mHW1l6oLV-Ic2I7Vjrw","_0d-uqjdfeL23s2xgje4Pw","eYE7zd30ltLAS1V3ssdtrQ","8EWTMelykqAK81NlZUFsqw","FN-5HISn0yi5GTM83Uy59g","SqL19z7A7LB91RkWWwWvnQ","3akSOcI-uzHOwGQeZD3NHg","8jm_9vT-tGT-rFe-XckCqA","sOPBbhDCi7bJlW7dNBuITg","gU8H-yYJEByT7b8ZvHs16g","geytMDcETB3AwhATBbq6gQ","0ZZIqTdEb7yUa13QZLKuGQ","mNsjRWm99TFmssgKJX_kyg","b_XIKJ2nNzksuWhfMTEehQ","UsJYr7l0fOaQZG223BbpeA","IFg1pCoF9m90ivwvE3SUcQ","O3zVw-VAcJi8ta4B6v5iAA","avKtXuzalCP_cVfrk-fLeQ","LkfdCPTWU4BNWWpou60Lww","9Fm-OVlt1fXIHcp5QJisuQ","jF3sWSqa-6TyROZgSUGrIw","p8qk36_xEXhICe91tfUpPA","WWdPXSNLduMNK-ybk9HcuA","PbTh7aX0_yyaXFOXAlhI4A","m8Cbph-0tlMaYyXDwvKc3A","s1FNMwBVBmC7mLfYy77e8g","nkDSE-yhvLX4ij5fSzvb5Q","zU63bs3Ofe8y1peOgOFJaA","mJ_ucQ2_3hfTsmCcKb-hgw","VBoyqq5lO_H-EJO6MTwIPA","kY2Uh2-CHgLff9rZZWuGDA","WPUf-Eo6PHxDNqPygahiUA","_9Oh4NYx5Yjd4tG2_HWQww","5nWfU-qheLL-JzwYgHe_cQ","X5oaz9_MVz-1ng83HuI4ZQ","eRoOfy-lQso6N3GiUY_c3w","NwVj3tbEcR2F8fbrcOEV0Q","DjvpsmdtEvnyMk2vXxpc-w","CKoDbOpF_CSyy6_lttqjKg","TrOgTZ0DfmQxvpTehiNibQ"
"FogTa-wmjhVnJCoTiaxvZA","ZYu7RwqxTpmPKTsebfXLAA","TZ6kp9DtD3NCP4LQnofXug","BTdUKfeEPFLieYzlKaRhbw","B0YUHoSSVpq4a8Uh2gG3ow","qG9eQTNdhhlBBpJ_3K-Q-w","RHwpx_SBW4h05LQsIxF-mQ","pkeIqsI-y7OGLE1a6Yxkgg","JAEGnGjqphWGoyuCN-hNQQ","gc5bZeAOoSvlK-gcJJHahA","jIDnLUpdKQCYtvT7wT7mJg","UJ3mHW1l6oLV-Ic2I7Vjrw","WAZN1Q8oJFHlIUzxWduzfA","eFwpKQB9EQtblKx65FuXLw","uMZxxZrbM441LnnfqR1WOQ","z2Yivr-C0K0H2sLNXvnZyg","aOevuXGtCm9Ng-gCsFPXyw","u1m3qTIrhZhwNjMT6n-M8g","FogTa-wmjhVnJCoTiaxvZA","wi-T1EAilETniAbuiSBJ2A","-33BHZKxCiREa1cfa672OQ","FN-5HISn0yi5GTM83Uy59g","_qA2HPqgLiBc-M4wRyml0g","L4ivYHVCDpIE0SrPaCn0LA","y1esDY2vFyaTMf1YlRT7ZA","AjaLaFQLMRLnPetDFQN1eQ","S_bG5WWbtNXhhY9Y0GTcSg","zazLy5wo73tr5y9Oxjx36g","F0IJdiby0KQx_jux29L52g","3akSOcI-uzHOwGQeZD3NHg","6ti3AWLJ3wXsgDcTg3SzOw","Uqf9-TytJ0V_3SISZ8xovw","geytMDcETB3AwhATBbq6gQ","0ZZIqTdEb7yUa13QZLKuGQ","5gu96LoZOM6Sres5yMQLHA","zunMkZ4U2eVojempQtLngg","ZBq7AD95c2kPei76KVewQQ","1x8_aJQ-iqvymhRK3SNbLg","UsJYr7l0fOaQZG223BbpeA","O3zVw-VAcJi8ta4B6v5iAA","3fs1mnE8iZJGgpezaFHaIg","Gt-T8XbgbvFw5KeLpmnSLg","bWucOPNoIjd8ECdiDyVq9Q","ljLq8ZTLO52rzwsEeaWZKg","yxLVwItd1Wnhy6SeUUcNYA","RNO7SRmfVi0CyXjtPhXELg","NhUUOdvvw_-VAvxdO4VhfA","OOXUDZVOREgjwrLiwr3Spg","p8qk36_xEXhICe91tfUpPA","vgaA8bqGtd2uYj3KuWC9yw","2VRVAhzefxIqjzbQ21LdHg"
"JKDuPY9hPajOVQZpKPCzpA","eYE7zd30ltLAS1V3ssdtrQ","p8qk36_xEXhICe91tfUpPA","aiU0FRtHTIHBWMYapw79LA","WPUf-Eo6PHxDNqPygahiUA","CKoDbOpF_CSyy6_lttqjKg","O1ird5yRyuDFnOmYu90OoA","AfN3Z1U6QPEgAb5F2CQm8w","UJb1PrUWDFfuzwUPc1pP4Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7pxQFqr7yBKMMI2J51udw","1iS-pzwKiNF21UWHl9Rl5g","u632XAPn08Rot9Ru9BoFNA","vrdrPE_IczDTL5aM5f-Tqg","RZws0oOOi9SRuks4tyB6QA","_0d-uqjdfeL23s2xgje4Pw","_glMJT-AR1vNt-eatEdyeA","AhYG10mP_LOHePr_SC4Peg","YIpwSFLkb1geFIXyqh62rQ","je5h9jV38Wpist76omY_Pw","NCc227GObIORVxUXs-KWvw","yCK1Ok69D7TSWJESZQZHiQ","IOQ7hWDbdzZgOSr2sDELoQ","bNdLi3Vs1HNn04CaO8qBgw","u-IVGF-wGwvxuj3uKQW8qw","8jm_9vT-tGT-rFe-XckCqA","4VIAadQ0yZGss1vNHWUk9g","iUHz8jIWjkbx6pXsTUNIaw","UDiMCb4LKowlozI5mhtO_A","pH9HF3GfJKJAdKDHcoUI4w","JKDuPY9hPajOVQZpKPCzpA","JzB7NITHQ7gVHGVZ1ntgIQ","I1qRb4qqQRly7NhIOCkk_Q","WexIGFr-I6eH4loUY6DILw","GETVAz5SCk8rFziexV54Aw","DYuOxkW4DtlJsTHdxdXSlg","Dv0OHpQSL4hOGl2KAEVvlA","VZQPYoK6l_vo5jwYgabJdQ","k9rR23TeanYDFEdqUK9Hjw","cd5Utm93d5Ta_F4e8A3pCA","Q0y1SHlhG4mzUWWDIW7NFg","9Rs7n2LbINBN8kLbScjhmA","mlCDsdVFuZvRGrJTfQ6amw","NwWYSYGHFyHQMmsXu0SiYA","Do72DKBclgkSPt6jZ9-c4Q","sMzNLdhJZGzYirIWt-fMAg","RtnTbhWYw4QjKhoTBV37OA","JRo3APL5f4-TEkuI-SoDcA","PQicuLOZ3uNJKn4PtayjlQ","Bx7SDDMr5Y278PFIy0nsmQ","HCCg-rVnHQ2FI6lHs_LvUQ","w_UCGMgok7N9p0XdYBx1VQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrq5H3LZicjMG0wv7gy08g","gc5bZeAOoSvlK-gcJJHahA","LqEZNMIsJOWUWSxdHHCBig","M4RwZL5bTBTwwbVcoaDbtw","_qA2HPqgLiBc-M4wRyml0g","SqL19z7A7LB91RkWWwWvnQ","9dP5WPlF2pfjMOx2UeUFnA","sOPBbhDCi7bJlW7dNBuITg","2Wl4o7l54I-EtxtaDpOTzA","nrq5H3LZicjMG0wv7gy08g","fMtJHpD-l0GGFKr5xnbWnQ","VxRlBe2wjtycFWSZm1orTA","0v984vlPQfb4VZWvBJSsfg","avKtXuzalCP_cVfrk-fLeQ","_eNeiqWPt1MPLFF6DEIJeA","bWucOPNoIjd8ECdiDyVq9Q","y4ETe3DkcIjjr_eyeg5U5g","GETVAz5SCk8rFziexV54Aw","dQrDogW_V4fB83vTTAP5eA","ffUMyqLvDLcsed5p_7wy5A","mJ_ucQ2_3hfTsmCcKb-hgw","_9Oh4NYx5Yjd4tG2_HWQww","eRoOfy-lQso6N3GiUY_c3w","Q-1JCkmzNBJk6jC7K_AUZA","74gDxr6rs_8tUTcS1vkr0Q","zYb4kj2R54R2YPeNm829BA","d482l58ho0_IMdFkXX1F5Q","Trbt0Ex85yvwT8DHoEFCvg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gt-T8XbgbvFw5KeLpmnSLg","1iS-pzwKiNF21UWHl9Rl5g","u632XAPn08Rot9Ru9BoFNA","vrdrPE_IczDTL5aM5f-Tqg","RZws0oOOi9SRuks4tyB6QA","_0d-uqjdfeL23s2xgje4Pw","_glMJT-AR1vNt-eatEdyeA","AhYG10mP_LOHePr_SC4Peg","YIpwSFLkb1geFIXyqh62rQ","je5h9jV38Wpist76omY_Pw","NCc227GObIORVxUXs-KWvw","yCK1Ok69D7TSWJESZQZHiQ","IOQ7hWDbdzZgOSr2sDELoQ","bNdLi3Vs1HNn04CaO8qBgw","u-IVGF-wGwvxuj3uKQW8qw","8jm_9vT-tGT-rFe-XckCqA","4VIAadQ0yZGss1vNHWUk9g","iUHz8jIWjkbx6pXsTUNIaw","UDiMCb4LKowlozI5mhtO_A","pH9HF3GfJKJAdKDHcoUI4w","JKDuPY9hPajOVQZpKPCzpA","JzB7NITHQ7gVHGVZ1ntgIQ","I1qRb4qqQRly7NhIOCkk_Q","WexIGFr-I6eH4loUY6DILw","GETVAz5SCk8rFziexV54Aw","DYuOxkW4DtlJsTHdxdXSlg","Dv0OHpQSL4hOGl2KAEVvlA","VZQPYoK6l_vo5jwYgabJdQ","k9rR23TeanYDFEdqUK9Hjw","cd5Utm93d5Ta_F4e8A3pCA","Q0y1SHlhG4mzUWWDIW7NFg","9Rs7n2LbINBN8kLbScjhmA","mlCDsdVFuZvRGrJTfQ6amw","NwWYSYGHFyHQMmsXu0SiYA","Do72DKBclgkSPt6jZ9-c4Q","sMzNLdhJZGzYirIWt-fMAg","RtnTbhWYw4QjKhoTBV37OA","JRo3APL5f4-TEkuI-SoDcA","PQicuLOZ3uNJKn4PtayjlQ","Bx7SDDMr5Y278PFIy0nsmQ","HCCg-rVnHQ2FI6lHs_LvUQ","w_UCGMgok7N9p0XdYBx1VQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2iTsRqUsPGRH1li1WVRvKQ","1iS-pzwKiNF21UWHl9Rl5g","u632XAPn08Rot9Ru9BoFNA","vrdrPE_IczDTL5aM5f-Tqg","RZws0oOOi9SRuks4tyB6QA","_0d-uqjdfeL23s2xgje4Pw","_glMJT-AR1vNt-eatEdyeA","AhYG10mP_LOHePr_SC4Peg","YIpwSFLkb1geFIXyqh62rQ","je5h9jV38Wpist76omY_Pw","NCc227GObIORVxUXs-KWvw","yCK1Ok69D7TSWJESZQZHiQ","IOQ7hWDbdzZgOSr2sDELoQ","bNdLi3Vs1HNn04CaO8qBgw","u-IVGF-wGwvxuj3uKQW8qw","8jm_9vT-tGT-rFe-XckCqA","4VIAadQ0yZGss1vNHWUk9g","iUHz8jIWjkbx6pXsTUNIaw","UDiMCb4LKowlozI5mhtO_A","pH9HF3GfJKJAdKDHcoUI4w","JKDuPY9hPajOVQZpKPCzpA","JzB7NITHQ7gVHGVZ1ntgIQ","I1qRb4qqQRly7NhIOCkk_Q","WexIGFr-I6eH4loUY6DILw","GETVAz5SCk8rFziexV54Aw","DYuOxkW4DtlJsTHdxdXSlg","Dv0OHpQSL4hOGl2KAEVvlA","VZQPYoK6l_vo5jwYgabJdQ","k9rR23TeanYDFEdqUK9Hjw","cd5Utm93d5Ta_F4e8A3pCA","Q0y1SHlhG4mzUWWDIW7NFg","9Rs7n2LbINBN8kLbScjhmA","mlCDsdVFuZvRGrJTfQ6amw","NwWYSYGHFyHQMmsXu0SiYA","Do72DKBclgkSPt6jZ9-c4Q","sMzNLdhJZGzYirIWt-fMAg","RtnTbhWYw4QjKhoTBV37OA","JRo3APL5f4-TEkuI-SoDcA","PQicuLOZ3uNJKn4PtayjlQ","Bx7SDDMr5Y278PFIy0nsmQ","HCCg-rVnHQ2FI6lHs_LvUQ","w_UCGMgok7N9p0XdYBx1VQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
