"user_id","cluster_no"
"k7Ay-dLEdawBRITSZxJt2A","1"
"TpQNDYjagSvpaRB4d_QY0Q","1"
"GwXl4uGKYnYZGqXT3xMBcA","3"
"Tr3vePZSQQ-jU1XrAAjt3Q","1"
"uiasTQezUGDr2xsB08evXw","5"
"SpY0HzJKWaieBH0tL7RzJQ","6"
"jZMBPX6b9uHpvnoHfAWSxg","11"
"lO3dTJrI9Znb5nNcAJK-1A","12"
"jykNSgU17GduiA3Fzhnw3w","7"
"d8pxJNoBuagFwlymgS8pwg","10"
"uZqEoldVgZyTw09NhKcVFw","5"
"9ARxqHzCnZ6pY1DmSGFqFg","3"
"yPpOgMSodmrNwFHL9uP7GQ","5"
"LTe1EZPpZlNLymVceUKHEA","9"
"19seIYV2kPzPeRgR40oySQ","7"
"Sch8pYkvVB0JjQk4th6VKA","12"
"ow6ecGXdQvKBQBxOusrC-Q","1"
"eFHRDT9jLCtlnlVxqqJZiw","10"
"r3SQUbJ01Lpfci_7Sjemyw","3"
"YAs9WVj3BO9fEiDJaHkR6A","12"
"KZ2yIbhqmfQbkPkUJTGggg","1"
"ZDiHlPMQ-ZXlUtOpwcdPHw","10"
"7APuXUNXLS3UtB2uu8MI9w","7"
"B4N3WjRizP9WBHlr8QB7Tw","12"
"__Evto96i84UX3Bam4taug","10"
"xyNZuZYDp7ARiQsqsEorpw","11"
"c2428yUThmuEars-ivKUrg","12"
"910SZ1YnxeejRutqpp9gZw","5"
"RMnKn1jAPyQdCR5bU39qpg","2"
"nZReXOt6tm8H9N_-lMSAbw","1"
"jFJQFusn76HTlrO0JvGwMQ","3"
"BxBY4G8CFlI4kevOkA4avg","12"
"cU1mYcYumuunBLULIQveMg","12"
"H01qhYUBsBT9IMtsx8miNw","12"
"nEQQHyIygQqCV4MHHjR5zw","12"
"6iVbNJIErk7r8N3oK2aKzQ","12"
"xAHFezSUOn9eZS5WlNGleA","9"
"CftKAkoosae4lJi4JN8DwA","6"
"ZRWnelu3sxHHONvDc0xtaw","3"
"S74D1KaauEAOBR3gyIzs6w","10"
"ERSy0MQ3hou1mnSAqvKnNA","9"
"NR4WsADWz3lEDOcHy5bv7w","9"
"hq8I0iW8UKhU3XWy0fgrKg","3"
"ySvZntHJlaLhn1X8Z1Zj0g","7"
"r8fncqoQ3kgaZt6Jalumng","3"
"Of-8NG_jo2beWr4KSXmwvw","12"
"z9k2LJtL3oJx_o4IgwIFmQ","3"
"yXqD9UU_RvU4jfP1UmKW9Q","5"
"tLN2evpYCZ3-htqOAOq5GQ","2"
"mAKzjHwWuqnE8silogcDAg","12"
"VOZ8O_mpB-GxsGM7DafZGA","1"
"W8pphwvHj32WzyRvM8gEWg","9"
"sp2tVKdpbKPEMhR3vphJSg","8"
"BkFn7V7fNc2bCWWyyF_3uA","5"
"lGdkLxdrCzMRth0Nrq5Wkg","12"
"KnBXh3scwnHOWIPhnYmJAg","6"
"thHTohVef-2x4of1pESQ6w","9"
"ykbe5K8AgxWiGBCfJfwvmQ","3"
"Zvc6nSaAN1WusH_sf8PjBw","3"
"F4WK1BAEwoYdbqrEGeuOWg","9"
"G1As2p25tMVgcPGsYNzEtw","12"
"ip5Yv4UhAk4jirdLdaz3xA","10"
"hnG3MbeaC93AQRwtmgiyOQ","12"
"1YCyqswr2FWbCwzRGed8Ow","3"
"cB3rP59EqzXjRJrX23Wstw","10"
"GpHWgmwh4dDEPYkhQ8uOoA","2"
"gaVZA2U-gmv8sic789uVHw","2"
"MZhFVIZlA0jgL_bQdjHNeA","12"
"SHN-dwf5LOveUsqoY-TZAQ","11"
"SrLDqjmqMVNn5gbPGzJmuA","10"
"PeLFZCi28PaQ0Ql8HCcwkw","7"
"2haNdBgOvEZxSpnwQHT5RA","12"
"njUlTDDrdNbBMJfjW1J4Gg","5"
"EtWuYUtFjXSK5lnGfogcIg","12"
"3eRoLhZOetyOBriha0IceQ","7"
"JWGFGzgGzgpgQxPNaDrUsw","2"
"LNzGmfpNM-wg6WsknJjN0g","1"
"kxO7s_G5WQO4TOms3y-3hA","11"
"U28l18-WzVstsV9oQ7ETOw","3"
"lwXpN0WfxGC5zkXfFdQnGw","1"
"Gh2JDVygnhH_Io3TsX3b_A","10"
"j9lCUOrt6haZlViS8gqo7g","1"
"ccrf_bA7EDC08cz8Q7bX2w","9"
"mErxRvpioiozq8z_OSFnVA","1"
"O68tgzyglqMUhBVUg2UR3w","12"
"lCA5YQmuSi1aKyVrSzI7Qw","12"
"86uu3REHfKfMMYFHODzsZg","1"
"5WEopzOdtwsaRIOw0soKbg","5"
"_p_T9hDqPfsCtzXYrHwhQw","3"
"G7Zvmux7p6b771ybrmZhjw","12"
"4VMkjs3C-bKEndLzjsAtgQ","9"
"AD0KsLtXG7ftw8h5tL3tNg","6"
"upFHrTdfWZGiZ84_bLzY9w","2"
"ScI_yFPoj4ngxt1KTGcD7A","5"
"CMXB33kJIShPb6zRCOH4zQ","3"
"_edEeOCPeKywzpjzd6LR0A","3"
"1IxRMf9L_CWSIPQZJoCRsg","12"
"n0eiO3H8V5jV2EeEW5xdRA","11"
"WM3MbzI8UDn-Xm5c-_Y_3w","5"
"jlb8zu0hOuYgcBM4BRSBog","3"
"vWWJ_C4-u4EA_hc07c3wvw","10"
"E2R4WD4n7V1bGXAtLe8AHQ","6"
"gusL5kiK4ALvt2LeDcC-uQ","12"
"VzcEwowFZB42YtnBIofPhQ","12"
"j4M1enGzzaso95laoOrqEg","1"
"jKw5cGjQkTV1T2Qv7u5qwQ","12"
"CwgYzY_9SGiqEteFfuI6mg","8"
"lqvuoC0gQcl5egcMjEKWKA","1"
"iWP9zWtCwtj8FB9owcIYgg","10"
"plwsF5zE-U-ZXOEQqf0z0g","12"
"f2fARVF59BhR0FbWO8nrXw","7"
"RY9cw9GwI7mJNmLHh_dE3w","10"
"3opyDG3gHw9htZpBVRtqpg","9"
"ogDt4O59MX-8ZNu6foYP9w","4"
"baZjUuIW_jWJlVctX-YQjQ","1"
"CvJG4MAs3aVY8O2BuVKARg","6"
"VA28T_l0ZKZGNLEGy0tm6Q","12"
"BOUlZAG3WBbR-ZaG1mXHeA","12"
"5kR5XkMpjZYT4Pp8mDj9KA","9"
"IU548vQhJd6_K_MlZWOfrA","12"
"BzWq2lZUaTfGLuSidEoEyg","5"
"gpQfgg6Rae_xV4e7sVHwgQ","8"
"My2vRS6m_ap3bBUd4lzrYA","12"
"YrjR--nfZfisgFFBS9DrzA","1"
"sqMxZQxw58wquAqG93C4Uw","10"
"sSLoojgMD7QPcpqZuVxAlw","1"
"Wc3CIh26rBWWgPGX2ocDSA","9"
"kfXrej6tQKlV8GM7MZC4vA","12"
"QTg6xOqNkz1Cj-HPH3ZUvA","10"
"gl-hwGd5BvvOiDsWlxnHXw","1"
"UKLrh8QawCOVJYC9LCYsLw","11"
"eG38kfBS0-_2HhFGbvhNow","1"
"VSZla7QDRIBOllyA_dGx5g","3"
"bXNOCjbbb0gvP784Ii4gQQ","8"
"1p8Pu1pvAsuNtuZDtn2OkQ","5"
"rDhXWOu0W3-sTaxAl-2xiQ","6"
"EGmL7AKJRgr8C6EmCbveAQ","12"
"DP3Y7E_LxZHxvH2hgF8RJw","12"
"9zqSfwUTBncHNJ9tGNNWIQ","1"
"vDULjge-4itiu6PP1R71AQ","12"
"KgHK9a3TaNCyfkH9ERBVpw","12"
"0_GFPAqor7jXgly4kQ9leQ","12"
"eGJMZmD_OGGKs29dNCsqsQ","11"
"eITkQlKYsYqOBASP-QS0iQ","12"
"Rj7b2Rk88skFKxnqo1bisw","11"
"rHkToCu-8cHaW1wl8CNKAQ","11"
"jThtswucNL77TGwvKR5aBA","3"
"FsT4NQ7oVzvY-EYgLEZrKw","12"
"1yF7Q9EXJxUE7nKUG0dfpQ","1"
"Yh21KzEPmbNpoSJ032jwJA","11"
"VoHYqHJhO7owA5CVhDnv5A","2"
"vIP4FGgIWE_Y_Uk7isuc4A","3"
"erfHnJlueTxufaPWfypXrA","6"
"FPLGHrDuZnl3rJnnM-NMcQ","7"
"TAeUOPslUxT-8xFdAAessA","7"
"EtAltUSp-kBcto6kwk5OzA","12"
"zF_Sm1L_2BCo7rzxGBtPbA","2"
"1ztTSf3TNSYUdB3JpF130w","12"
"YI2kE4t3YGeMrF-d6kjZNg","8"
"QN_Py_ptyTbsR4V_AvvcGw","11"
"4TN75ZGkEQYhSQbXIOLCGg","2"
"QH5ixQMX0Ow-mGCzHQqUqA","12"
"bPxC0DYh7Z7YnUMbQWBG3w","8"
"4N-YLRhhs5d6VkOutuzwmw","12"
"XdRVoWkjDqv9k-5L39nOuQ","10"
"EG4u2o37sXJrbdclKgG3lg","12"
"19Wro4VFE-d8tPQPybCLoQ","12"
"oXBl3COBMJQSVsY8IuGR9A","12"
"yQAgKwcCyyF6Qaspi3B-4g","8"
"oH1t6BYx4Ko1oxReYX_lZQ","11"
"ZzrZ7gkhgMoMil2rZ0Dvww","9"
"WFM44eaEUSvtnCKl6m2UdQ","3"
"VJLeV2LYz0eGGG5pIOHjyA","11"
"dTvSNwReGeKoYhcTj1GxOQ","9"
"J1aurUGR360LS7GRnuW5PA","2"
"MrINxXNSiQiV9uZmYPH33Q","3"
"xLRv4CPZ7Ox-PhJDfQiY2Q","3"
"p9MnogWAceVCtSAOTOXmTQ","5"
"PnuPPOt8NCQhhpW4mE5RWw","8"
"egFlfG7tDD_y_WK1Lvq0jQ","5"
"jpfr0hd7Re5Fz8Q9edyfeA","4"
"uNYa0po3vNkoWdjZl7dmwA","11"
"iL3qcSEMgJQJQg81HZrtWQ","12"
"MDsc0P8xBhkxc46CPZa_6w","12"
"qqyAJZFHgfgWnnhcZEzPhw","12"
"kvrceyF2MpRDBotFfy8rDA","4"
"DFk-fQqg6giSGjLQUXXh7g","12"
"srXq59Iluuaz0D_SFrRumQ","3"
"mKUkIwJC7KXfvPkNQh6RcA","3"
"_yqINMmAZhYeB1z9ryp6FQ","12"
"F0nbXCR8gWoCLoyFInUarQ","2"
"36hlccAmQMxD8ilVKQ4hhw","10"
"qkdYs6RN3M8y6uggkkvCnQ","10"
"E8hq2X_tN_AZs4BPtTpmMQ","6"
"ENMPgss-VGCMdX5JwaaMUw","11"
"f82MUG-kYDePQDQBtSfIlg","1"
"ltIe_eGArzU8b48rKM6yQQ","7"
"k-SO25dAOq1-0ogp1WM7yQ","12"
"iK4K9Sjni5vbz-180TlSmQ","9"
"HcKXOB5q8L6yMhcHHZBh4Q","12"
"JWd3v12bwXuvDeRALqraiA","7"
"rae3XnBTKX6ANvWZ6i8Y4A","2"
"letr5QRfeVRh0AhDiCJ5jw","7"
"YXLxihS3Ywkp8pJvCnOtrQ","12"
"oM0hVJIvqs7iyxZziDSnYQ","10"
"MdlvAx5E1j3IHd2hghwoBg","7"
"JEEYFXLbKy-KpbTT-BHb6A","3"
"AAgVqfijbr4qV55ugFEPBw","2"
"c61aYmnXbRCfeNqJjXV6tw","12"
"-3y78r5N_Khox11PUs_kyA","9"
"PXYq7gLnFOqWRXzm2fywJw","12"
"1BZcRoLmJ55rDM5rgt4nLA","2"
"gkvOFeGJkcyWnh_WJF3ZqA","9"
"1J1wECaKO1sw8_iMKyDjKA","1"
"e_WZFvKSVRGv_RFFBmgUnQ","5"
"H9XGiTxpcDS3zoZACngv_g","12"
"CYN0DZEQKoyegV5_7i4MHw","12"
"Eqbw6NX0pVASyX_NZe43Mg","5"
"yTiYaNdjrHvUtQgmYyybbg","12"
"R0vLhvruLb3vd1TzV-ITMg","1"
"EnvC_2xfGpT_sY1vmmdYxQ","12"
"wOYNT0s5fudvkzP3NdbGCg","5"
"pMIY0PcrEp1IstRzwg6_Ug","3"
"8YL0g7gpmyKfnqFfOXfyLg","1"
"dfIgyPr3UQ4SA4Kl8eXJpA","12"
"TTZo51CKSyHpdeUN1vP1VA","1"
"SvTj5LZeBbaIkadA1AE84g","7"
"G7tjhSc-NkDtFQTBeeEbEA","10"
"wr5cryths7lQbEFsTHS9xw","12"
"BzQYWjXTxbpEFsjWiu7C0g","3"
"zNL9IeUD02RnZI4ihwsXeQ","5"
"UDJL_Vk6MyfgRHVNjqxhZQ","12"
"5f5RrUC3AZCDBiEdivdGEQ","10"
"QfBdFT_Xllpr9ixwzFrZ-w","2"
"6z8H3Q0qbcWa-d6utfemSA","12"
"0OnkIv2xvupcPOEudP98aQ","12"
"pDAxxoDSySxg6dyLOdX20Q","12"
"767tAo7_e2SuegNVgaK-vg","11"
"SlKtVBkdBPl4l6nRhMtkjw","12"
"Jh8-sglOfOMydn9m9_kdsQ","5"
"5Y8z_4jZuip4lvKXk3e4bQ","2"
"UC4vIvPxFFQC8WQowlzu2g","10"
"0JEHmihovJYy3TjWH0MbRA","9"
"nauNqUG6kLSW_hBnH0MxWg","3"
"oUrcLIDkqzvd0P41e9dtOw","12"
"bAkzjr5EzXJvBRaM0Sh9Ow","5"
"3OJ4NDPR_PXRck0Wphvbxw","2"
"btFPDVCvAeHN3Ao0ykqU8Q","5"
"3YK7REruC4FwDTOj8zUYcQ","4"
"MZKpp5RWBliRE1kHMt_ZnA","7"
"lha5IP8CfTeIID8-goOXtA","12"
"3CUDrrPWd4zISopMPT_gdQ","12"
"SUDX_enLkhX1XLf-km59AQ","7"
"l5W-WRUMph5QbrQ-Ox6oDQ","7"
"J22BurX5GK60guSvqpV8ZQ","5"
"CbsRTWXLvh733p_dO16a-A","7"
"Nt2Op5-MqqJE4WL76H_1BQ","12"
"DZNb5W7JmiKgCVFJ_jM0vw","9"
"GvbZoJ3LWcOgtsdQMt97-w","12"
"g1cuNzj-DAd2d4zd6wx6eg","3"
"pvzq_AcxtogMCOrXkjJIsA","12"
"46wwNRiBGIAJuPlk8TOP_g","10"
"DpUbXGXEn8MNrtZEzsVhqw","9"
"wPDjjQrQ46SJQvuZaitMvA","7"
"atHl4CfWzC2L-qurynf7OA","8"
"QnkzyMCmyw6j9XSizpvJrg","1"
"0BxF-X_WBAoL6Zk46RzhYQ","6"
"X9P0fzm9LiNrIzLr08Lv-w","8"
"u3czK0JqHZEMcsLEwIC5Ag","10"
"ArFQF6MB-rtjauVV0h-00A","11"
"h5pNtBch9s4d0_PFO1ZTlA","9"
"xPDvlTBKfXMmA__Dh82WmQ","12"
"057s8Tu26ywPJQ8q1zn5vA","5"
"f0f9PqBQGDAGmPYCcO8Y8A","7"
"CCSyQA4dSY7ZWsk1MAwrzA","3"
"I_IXo8DVwEXTtw6IK3IyJw","7"
"6yMvpKowpnBqAoH1opUbjw","12"
"ASearsYkVlZujb85Qu5ObA","12"
"zzjQuRnY_Kgr_zaw6A-ACQ","1"
"V8TXpddYsffVew8l8HGRZg","5"
"O30N7ISLW0NrRajbhd1nYQ","7"
"Q2OCeHgeIJgfkxIPwXpVgA","3"
"KU3JpgAwS2_IlN8awXhRtg","12"
"EBImF866Y2PgEQB9hUArEg","12"
"uIZSbE5PnNElxyAqQG7Cyw","12"
"_q7MxrFKmYu2agabKG8y0A","12"
"mLN1L_r8ZMrc5qsALwUuPA","7"
"6tlC85J2zsHpnrtHp3qX6Q","12"
"ix472FSMFJvplNrNF8mkRA","5"
"SrIZpNIIJj4-Qt6wiYlmwA","12"
"ngDxYiwEAkanzQ7zYe5heQ","12"
"XsAaITvNSKAcKQaWMSYFyQ","7"
"jThEtyVN-3er6Z-24hPATw","11"
"z8UsJHx263gfFORl1s4llQ","3"
"RVMQCmWCzCy9cpneXFwnaQ","3"
"VMKZhuAen9D8g3gSeGBGpw","12"
"nqPG2EGYosS2PRb3uVWB2Q","10"
"zyMB50UtmEuQf-1VUKxZxQ","12"
"FyhDaEI_7vo1gn4qG0pZKA","11"
"ioRDhRy3OSXl58RTKGfvTQ","10"
"6S1MOVLY8ZJ25XdHDTOc-g","12"
"9x8o-z3LQ2mIk0X9sQOTZQ","3"
"kldfV8cAR09nfxDP7ec8Pw","5"
"yFtLWZKk2ECQIOBGhBsQcw","9"
"xGFIeRDjI-r-Us70s-o2sg","8"
"gACd6UyxwOGnScsqSC8g_Q","8"
"d28TmFBzazMaWHxV-R9c0A","12"
"l08Citoau-1dd9-T-hpYQA","1"
"PqKduaBEXhJl4TsEsJU_yQ","8"
"3ReghrmqorOU4YOPs5nNZA","11"
"WFKODeGrrISSTbzBYGxgrQ","1"
"GI7FVRw4_OhqKOPT7xCcxQ","12"
"rMFcTPyRmpDLaDwE1IrvpQ","5"
"cg_05hRU33HSWx1g3AubjQ","2"
"llwkMBEeKIDfmlMIZ3lV9Q","12"
"F3P4Bt9BcBVZ53VCUdG-MQ","3"
"uEO5Z3twMEGVs1sv15HFcw","9"
"sv2Za5RaJCSebbbl3KgiTw","3"
"6LtpQUYNSP4x77LhItl8_w","7"
"h32g3DSZjrUiXc6Pvplqdw","1"
"GgK-ittZXPo4p_TIhKVQyw","7"
"QChMiHDB8sfiKk6vqumDSg","2"
"0cUIsRFxVp2eseQRUPxbJw","5"
"enTwU3ATaMsDF_EfSWOe9Q","9"
"BYuR5Elf7EaJ88AdzYi26w","12"
"R3GJcdrNSM43d_DmHI-kQQ","7"
"mEdC-Nc4keccxTlNy6enlw","9"
"2KNwYRj6yzxWWRtCGF3Cbg","12"
"WAA762lBhNJnnqycNKf-iA","3"
"tGDv9WXpRi_g_M1IcHL50Q","12"
"uAu7pH1BkVNRR0BJS8IHbg","12"
"hyfurO25SIIAiK7NYDNDDw","7"
"pK3ThuoyBAhOoyALZlfvRg","12"
"4iWVkL-CQZcq_BlzyMdEzg","12"
"7usczpCr67jV3_zd58YPcw","12"
"ooGJc6Nbq57Ku7OQ7EXPOA","3"
"DY5Xutpf08AsckJZoYG4dg","7"
"VM0Kb6GvZWmmITRd7B6KGg","9"
"90dRjfmBYv4QrYsC0h0d9A","9"
"ZUc4kS3M3O9tjOs34nz9Qw","12"
"Zc7DA_EIkZhLPDRe4Yf77g","2"
"PIX1Gjgu_dRUNsE3jOwUIA","11"
"kvcB2eI7MjG-tbOCB10Vig","7"
"TpUaIoium841D0koWttnbQ","6"
"PxtE8o4vkRT_rcuJKFtR0A","10"
"pw33vzOt0Q1UOlW-v2hVNg","12"
"eJFUuWsSCs-tc_lrKHojFg","12"
"qDRUX95XO7KhpDrCyqw29Q","10"
"SxdSVMmt2q_kx11eza1gFw","5"
"MQyXrnaWMQv3_bkr3aWpVw","6"
"xcmIG-RVjTnaZEl6poHPDA","2"
"XgTK37FHXiFM9Lyu4iQs1Q","3"
"SLWfxclDPieIYH5k9zNyRg","12"
"WGK4ZtLzhHUfctLg9NEcew","12"
"7H6voPkiiKJTM6P01NsIAg","6"
"rRGyukS7p60jyaSxWFqy4A","12"
"GoAKcLrrD0qISdlqObJPkw","2"
"7rninl7J7dEbV5d-EN6DFw","7"
"Z7FfUXsTt1eJddJFXV-_4A","5"
"vnaDeBAx19djnhUYUSMdHQ","2"
"Rs1fSauvDAIpMFPq0vTyPw","12"
"9J4qsyFnQYyKyIXQsgb0QA","12"
"2eoWL4Wnbq0EaQ9FmwKz0g","12"
"0BoO48jZw2kjJjwgwIjbLw","12"
"tNQnQtCR5OrwGOgyVLMOjA","11"
"hgP5hycUk4JLCJzRrgVRlQ","2"
"xCrhPdGFc2HkfV_p8YIZ0w","12"
"nKeQVY_DgoGkkaFKuPmloQ","12"
"L8FuNbxOIAjUwv_RkRbR9A","1"
"mNYQl3d2wFDWZiZa7VD6og","10"
"XECl3O9S-WUE1foMAqulTg","12"
"vDAOsucL8bdWC5HN9Qv3Yw","8"
"KnIDkn0LAhcAhykDfQQgUQ","7"
"6CqtfQ-iMldW8S9T7SaaUw","3"
"zzaq5Fn1U2Feut3dGxidNg","10"
"Rem4RPV2_TS0rw-kk0aDmg","12"
"9RWvI74o8u58C3HbzS1vdw","12"
"ppmh9tzHLZ9qEx0nssu7Rg","4"
"6YrwKaw5shk9gMbBNgYrAg","3"
"0aNZMeSxwIG6N7uy3a65ig","5"
"H5MWl-kvkU3vRkQRAAotMQ","12"
"qDu-4CX-uJOkjWHtB5eU3Q","9"
"X2DEGmig3TK-xgCY0aA7Ww","8"
"KE429z8SymByrMVk9_OK0Q","5"
"1klKWZR6U4ozerykDxsyRA","12"
"J4s-nnp3JUNawmv9bKnGWA","12"
"ICbpJKEM9ofPv_sbDsnwuA","1"
"Ih5cOckhWb1Wk4E80wvQYg","12"
"vKsoRog51j2820WF8LV9YA","2"
"3r9VZJTfHV-j_c1sZpqdmA","9"
"kwY-KStsSdCrrmWgHYOQyg","2"
"E1v33r1h-STzYFZGnNIzng","7"
"qSNUvp6l7kkKXdQH6KhngQ","7"
"Hln7rvhQEX5l_Ok-UgCLiw","10"
"rvlGi2daqt6qMHVUrjVMfA","2"
"9N8h85NfXederSQkvZ6KDA","8"
"h7TE2QMabmmVqM4K3PpTLA","6"
"Dvgjr7LRwZA_6olvYNFVBg","5"
"_PvpFws5cDDbsxBH6XKPYA","1"
"X014hNiCaaNsOESXydRlUg","11"
"3qYYgipvrScdXWqJBgjmZA","9"
"UyJ-GmmFeeSSW8WrO8-eTA","1"
"jSdOVr7Mp0ZSrCZVyBz4iw","9"
"FhHsxRd9RJPWDRz9fRojug","12"
"VIhv3E_z8jWeBCd-RvfWuA","3"
"at42IzrsL9m7i6byjRCN2A","9"
"SLyyJdW0TDljb8BhLvugIg","12"
"W9MPolPlUiUEXYfGnYiHEQ","1"
"IRDQrxtog68689FiPW_PtA","3"
"NDKIjHBQpWvRi5NLtEwQSA","9"
"9FY4Qpr_Ti_6C2PKvZsAOQ","6"
"EltUmD5nopeRmYGHCRJnRA","12"
"kcqRdkmWIqKFlcOrflO0GQ","3"
"5D-BUviqgh88C8trQoXRqQ","3"
"UbIBJntKdg20CUFTXQeUfQ","1"
"21e2IqHCZZ096ukCTjQcsw","3"
"9LRFCIf065Yqdjsu6VnJgA","4"
"bjz3feBY5aAOUjrraly0OQ","5"
"pIs1dCk0XY5Ad2gAjXn4XA","6"
"DbhaUxlgtn8cwFMnyjASiw","5"
"g-TyVd9ETplOLSefiBH72g","8"
"oXhNLWTiMmIfUeFtgijgRw","12"
"yuZsRv20yoRWU5u786LHJw","12"
"XOzuDlByzpoyhA4fV4GMIw","4"
"sg3lKLP-hDBNocBP1mL8iw","12"
"vFU_J7ssSq0okhxiZXJiuA","12"
"EmIRKBW9-dd-28-FkyyrZA","12"
"eEMXOPTzjp_3FOfsXfG8LA","10"
"Qq_s87w_Dy9fPL6KkVAOOQ","1"
"VvR6DPkzmSb5xubJZvcL4A","12"
"RHNaexW3yskKHkwC_i1Uxw","6"
"Lv35C4wKtfpu0JF9XG2oMw","12"
"5XfOaD2miJ2o4S_Zy9HPPg","5"
"Z24wWXLyJ9K1ftiHZrP8Sw","6"
"GEhG8o8Z4fZdYT88Z1Sfww","1"
"9yPITTB_nUpXkau8IqfPqQ","10"
"WuhO9orz6l1XekjaW6utmg","3"
"n-_JB9kiCkNNLGhJDMynGA","11"
"8Aa_xx6fWiO6lZhTyITTBg","6"
"_cJIl2GUlrjRICah-lFMkw","12"
"svomY-1rRLOLttpAW7NoWQ","5"
"wN6Km2qcqz3huFuXEZDpzw","12"
"YUh_N2aIFcy2y0MIZkveGg","12"
"i9dF1yuEW7wGaTcmc9ASUA","2"
"LkPQmCF3k6iDqBLY7bsE5Q","1"
"eW43Kg3clvqXDOX1O6zpaA","3"
"l81nPAtsp_LXuF_mmZBEVg","2"
"4H80fQozdMjV5gViuKwTQQ","2"
"iBFBSEz3hXqDFHsf8AYP9Q","3"
"bNa-_qAIeg0QJEvNj1hK4Q","2"
"EPRWHV_wnw2lCfTSCTcaLA","8"
"NuSD65RsTRzbRubKFoCI4A","3"
"t-dLyxg4j54E7edTzWVopg","9"
"dFLPtA_B3x-VuPY0fq_jrQ","4"
"aLqVQ54NWdb17ioxetX_jw","3"
"QkHgrZUFg0PIzZZToo12lA","2"
"GGLaM8lE0j9tlnybIWnmDQ","7"
"zueYlOk-I9LrUTx_hNMFEA","6"
"nQDOxnrHjHke3zFsvlW_iw","1"
"Y4IR83bnRSMU1bPNFdoqhA","12"
"Hy5hPzJnl6KLJfR1PA8W_g","1"
"7MsgiXvJI7cZqGAe1K36ww","1"
"Z-UdrUPc1FwqZGvafZ-RDg","9"
"0DsT8XG8Q_BSc0hL8jfcLA","10"
